Device-ID/User-ID,Timestamp,Reminder Type,Scheduled Time,Reminder Sent (Yes/No),Acknowledged (Yes/No)
D1000,01-02-2025 11:25,Exercise,13:00:00,No,No
D1001,01-03-2025 02:52,Hydration,13:00:00,Yes,Yes
D1002,01-08-2025 13:50,Appointment,13:30:00,No,No
D1003,01-05-2025 05:16,Exercise,08:00:00,No,No
D1004,01-01-2025 04:20,Medication,11:30:00,No,No
D1005,1/20/2025 10:39,Hydration,14:30:00,No,No
D1006,1/25/2025 10:05,Medication,15:30:00,No,No
D1007,01-02-2025 21:13,Appointment,22:00:00,Yes,No
D1008,1/21/2025 15:25,Medication,12:30:00,No,No
D1009,1/15/2025 2:47,Exercise,20:30:00,Yes,Yes
D1010,1/24/2025 13:58,Appointment,20:00:00,Yes,Yes
D1011,01-10-2025 06:39,Exercise,12:30:00,Yes,Yes
D1012,1/25/2025 1:18,Appointment,10:30:00,No,No
D1013,01-06-2025 12:23,Appointment,20:30:00,No,No
D1014,1/26/2025 14:14,Hydration,13:00:00,No,No
D1015,01-07-2025 09:45,Hydration,13:00:00,No,No
D1016,01-08-2025 19:04,Appointment,07:30:00,Yes,Yes
D1017,1/21/2025 18:14,Appointment,19:30:00,Yes,Yes
D1018,1/18/2025 22:50,Medication,16:00:00,No,No
D1019,1/30/2025 20:49,Medication,13:00:00,Yes,Yes
D1020,1/29/2025 15:14,Exercise,07:00:00,Yes,No
D1021,01-12-2025 11:38,Medication,20:00:00,Yes,No
D1022,1/17/2025 2:41,Appointment,11:30:00,No,No
D1023,01-12-2025 09:28,Hydration,06:30:00,No,No
D1024,01-09-2025 15:48,Appointment,07:30:00,Yes,Yes
D1025,01-05-2025 13:05,Medication,11:30:00,Yes,Yes
D1026,01-04-2025 00:59,Medication,07:00:00,No,No
D1027,1/28/2025 7:52,Appointment,20:30:00,Yes,Yes
D1028,01-01-2025 09:40,Appointment,19:00:00,No,No
D1029,1/30/2025 21:02,Medication,15:00:00,No,No
D1030,01-07-2025 02:12,Exercise,15:00:00,No,No
D1031,01-08-2025 19:23,Medication,12:30:00,Yes,No
D1032,1/30/2025 3:43,Appointment,18:00:00,No,No
D1033,01-06-2025 20:01,Appointment,08:30:00,No,No
D1034,1/23/2025 6:47,Exercise,07:30:00,Yes,No
D1035,1/30/2025 5:07,Hydration,22:00:00,No,No
D1036,01-06-2025 02:42,Exercise,20:30:00,Yes,Yes
D1037,1/30/2025 23:40,Medication,08:00:00,Yes,Yes
D1038,01-04-2025 17:22,Hydration,15:30:00,No,No
D1039,01-08-2025 15:23,Medication,17:00:00,No,No
D1040,1/26/2025 17:52,Appointment,22:00:00,No,No
D1041,1/23/2025 5:51,Exercise,11:00:00,No,No
D1042,1/18/2025 6:29,Hydration,10:30:00,Yes,Yes
D1043,01-01-2025 19:58,Exercise,22:00:00,Yes,No
D1044,1/14/2025 0:57,Hydration,17:00:00,Yes,Yes
D1045,01-01-2025 13:42,Medication,19:00:00,Yes,Yes
D1046,01-03-2025 08:00,Medication,13:30:00,No,No
D1047,01-12-2025 16:49,Hydration,14:30:00,No,No
D1048,1/23/2025 4:07,Hydration,07:00:00,No,No
D1049,1/20/2025 19:57,Appointment,18:30:00,Yes,Yes
D1050,1/25/2025 11:04,Medication,18:00:00,Yes,Yes
D1051,1/21/2025 18:48,Exercise,12:30:00,No,No
D1052,01-05-2025 00:23,Medication,17:00:00,Yes,Yes
D1053,1/21/2025 5:21,Appointment,08:30:00,Yes,Yes
D1054,1/30/2025 10:13,Exercise,07:30:00,No,No
D1055,1/15/2025 18:23,Hydration,13:30:00,No,No
D1056,1/23/2025 23:49,Appointment,12:00:00,Yes,Yes
D1057,1/22/2025 9:22,Medication,15:00:00,No,No
D1058,1/13/2025 20:51,Exercise,21:00:00,Yes,No
D1059,1/30/2025 0:40,Appointment,10:00:00,No,No
D1060,1/28/2025 17:28,Exercise,15:00:00,No,No
D1061,1/28/2025 9:49,Hydration,10:30:00,No,No
D1062,1/27/2025 9:27,Exercise,08:30:00,Yes,Yes
D1063,1/22/2025 16:24,Medication,07:30:00,No,No
D1064,01-08-2025 13:42,Appointment,08:00:00,Yes,Yes
D1065,1/23/2025 9:40,Medication,06:30:00,Yes,Yes
D1066,1/16/2025 12:34,Exercise,18:00:00,Yes,Yes
D1067,01-03-2025 08:17,Appointment,17:30:00,Yes,Yes
D1068,01-07-2025 18:50,Exercise,21:30:00,Yes,Yes
D1069,1/27/2025 0:35,Hydration,12:00:00,No,No
D1070,01-04-2025 12:52,Hydration,10:30:00,No,No
D1071,1/30/2025 1:02,Hydration,21:00:00,No,No
D1072,01-10-2025 16:48,Exercise,19:00:00,No,No
D1073,1/21/2025 10:36,Hydration,22:00:00,Yes,No
D1074,1/28/2025 9:26,Medication,18:00:00,Yes,Yes
D1075,1/14/2025 18:56,Appointment,21:00:00,No,No
D1076,1/25/2025 9:03,Medication,22:30:00,No,No
D1077,1/19/2025 8:57,Exercise,13:30:00,Yes,Yes
D1078,1/20/2025 12:14,Appointment,12:30:00,No,No
D1079,1/28/2025 10:55,Medication,18:00:00,No,No
D1080,1/28/2025 15:48,Exercise,09:00:00,No,No
D1081,1/29/2025 4:23,Appointment,13:30:00,No,No
D1082,1/30/2025 22:16,Medication,09:00:00,Yes,Yes
D1083,1/19/2025 14:58,Medication,10:00:00,Yes,Yes
D1084,01-03-2025 21:50,Medication,20:00:00,No,No
D1085,1/19/2025 1:03,Medication,12:00:00,No,No
D1086,1/21/2025 1:15,Medication,06:30:00,No,No
D1087,1/28/2025 6:56,Hydration,22:30:00,No,No
D1088,1/18/2025 16:04,Appointment,21:30:00,No,No
D1089,01-11-2025 22:20,Exercise,14:00:00,Yes,Yes
D1090,1/14/2025 14:11,Exercise,19:00:00,No,No
D1091,1/18/2025 19:11,Exercise,15:30:00,Yes,Yes
D1092,1/21/2025 10:45,Medication,22:30:00,Yes,Yes
D1093,01-12-2025 10:42,Exercise,14:00:00,Yes,Yes
D1094,1/23/2025 22:43,Appointment,16:30:00,Yes,No
D1095,01-04-2025 23:37,Medication,17:00:00,Yes,Yes
D1096,01-08-2025 14:39,Hydration,13:30:00,No,No
D1097,1/27/2025 9:05,Medication,08:30:00,No,No
D1098,1/26/2025 5:38,Appointment,17:00:00,Yes,Yes
D1099,01-02-2025 08:10,Appointment,15:30:00,No,No
D1100,1/21/2025 11:49,Appointment,07:30:00,Yes,Yes
D1101,1/21/2025 9:39,Appointment,16:00:00,Yes,Yes
D1102,01-07-2025 19:34,Appointment,06:00:00,No,No
D1103,1/24/2025 17:25,Medication,06:30:00,Yes,Yes
D1104,1/16/2025 5:06,Appointment,20:00:00,No,No
D1105,1/19/2025 17:29,Appointment,13:30:00,No,No
D1106,1/27/2025 11:07,Appointment,16:30:00,No,No
D1107,1/24/2025 11:04,Appointment,14:30:00,Yes,Yes
D1108,01-03-2025 16:59,Hydration,09:30:00,No,No
D1109,1/18/2025 14:11,Exercise,06:30:00,Yes,No
D1110,01-05-2025 17:34,Medication,11:30:00,Yes,No
D1111,1/30/2025 11:51,Medication,15:30:00,No,No
D1112,1/30/2025 0:52,Appointment,09:00:00,No,No
D1113,1/21/2025 18:02,Appointment,11:30:00,No,No
D1114,1/18/2025 6:40,Hydration,16:30:00,Yes,Yes
D1115,1/15/2025 3:42,Medication,13:30:00,Yes,Yes
D1116,1/22/2025 23:43,Hydration,21:00:00,Yes,Yes
D1117,1/14/2025 10:43,Exercise,17:00:00,No,No
D1118,1/21/2025 17:37,Hydration,07:00:00,Yes,Yes
D1119,1/25/2025 7:47,Exercise,15:30:00,Yes,Yes
D1120,1/21/2025 20:25,Exercise,07:30:00,Yes,Yes
D1121,01-12-2025 17:07,Hydration,06:00:00,No,No
D1122,01-03-2025 00:06,Exercise,18:30:00,No,No
D1123,1/14/2025 5:56,Appointment,13:00:00,No,No
D1124,01-12-2025 20:35,Exercise,09:30:00,No,No
D1125,1/25/2025 21:37,Hydration,11:30:00,Yes,Yes
D1126,1/27/2025 16:45,Appointment,14:30:00,No,No
D1127,1/14/2025 5:46,Appointment,12:30:00,Yes,Yes
D1128,1/27/2025 5:53,Medication,06:30:00,Yes,No
D1129,1/23/2025 20:51,Hydration,06:30:00,Yes,Yes
D1130,1/27/2025 13:22,Appointment,15:30:00,Yes,Yes
D1131,01-07-2025 18:54,Medication,11:30:00,Yes,Yes
D1132,1/18/2025 3:04,Medication,08:00:00,No,No
D1133,01-01-2025 16:53,Hydration,14:30:00,Yes,Yes
D1134,01-03-2025 10:15,Medication,13:30:00,Yes,Yes
D1135,01-04-2025 06:20,Appointment,15:00:00,Yes,Yes
D1136,01-08-2025 20:05,Medication,07:30:00,No,No
D1137,01-01-2025 00:57,Exercise,18:30:00,No,No
D1138,1/19/2025 13:49,Hydration,22:30:00,No,No
D1139,1/17/2025 10:01,Exercise,07:30:00,Yes,Yes
D1140,01-11-2025 14:32,Exercise,17:30:00,No,No
D1141,01-04-2025 23:31,Exercise,16:00:00,Yes,No
D1142,1/25/2025 10:48,Medication,19:00:00,Yes,Yes
D1143,01-11-2025 10:33,Medication,11:30:00,Yes,Yes
D1144,1/28/2025 19:18,Appointment,08:00:00,Yes,Yes
D1145,01-06-2025 08:32,Appointment,10:00:00,No,No
D1146,1/16/2025 10:33,Hydration,07:00:00,No,No
D1147,1/13/2025 23:41,Exercise,08:30:00,Yes,Yes
D1148,1/20/2025 1:51,Hydration,12:30:00,No,No
D1149,1/25/2025 12:31,Medication,19:00:00,No,No
D1150,1/13/2025 15:27,Medication,14:30:00,No,No
D1151,1/21/2025 2:30,Exercise,15:30:00,No,No
D1152,1/27/2025 10:44,Appointment,13:30:00,No,No
D1153,1/22/2025 23:11,Medication,19:00:00,No,No
D1154,1/14/2025 4:34,Exercise,21:00:00,Yes,Yes
D1155,1/13/2025 6:30,Medication,09:00:00,Yes,Yes
D1156,1/13/2025 7:51,Medication,12:30:00,Yes,Yes
D1157,01-06-2025 23:02,Medication,07:30:00,Yes,Yes
D1158,1/13/2025 10:47,Medication,20:30:00,No,No
D1159,01-01-2025 14:40,Hydration,17:00:00,No,No
